,acquisition,path,Session,CC,Subject,GC,MI,Processing
0,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.535631,4001,-0.425172,-0.112087,Generic
1,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.517943,4001,-0.422512,-0.122181,Generic
2,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.541683,4001,-0.43593,-0.122259,Generic
3,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.526231,4001,-0.418706,-0.116696,Generic
4,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.53366,4001,-0.430544,-0.124946,Generic
5,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.526363,4001,-0.404139,-0.105445,Generic
6,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.517575,4001,-0.409367,-0.0912547,Generic
7,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.523189,4001,-0.417401,-0.109745,Generic
8,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.530696,4002,-0.451843,-0.131913,Generic
9,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.518338,4002,-0.418025,-0.119488,Generic
10,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.526244,4004,-0.411528,-0.121992,Generic
11,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.512051,4004,-0.389368,-0.10675,Generic
12,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.52794,4005,-0.393162,-0.108898,Generic
13,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.484865,4005,-0.325286,-0.084744,Generic
14,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.531097,4005,-0.435707,-0.126021,Generic
15,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.51975,4005,-0.423967,-0.115324,Generic
16,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.520243,4006,-0.393747,-0.110534,Generic
17,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.505217,4006,-0.356158,-0.101368,Generic
18,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.522532,4007,-0.442162,-0.119581,Generic
19,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofM/func/sub-4007_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.495449,4007,-0.39904,-0.107784,Generic
20,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.534749,4007,-0.440906,-0.135491,Generic
21,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.519738,4007,-0.408498,-0.117087,Generic
22,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.541204,4007,-0.415964,-0.134412,Generic
